SLU Score,Opponent Score,Set,Opponent,Year,Server,Play Comment,,
9,13,1,RIT,2014,RIT_WV~1,[Abby Higgins] Kill by Lexi Brown (from Cristina Deschaine).,,
9,14,1,RIT,2014,SLU,[Cristina Deschaine] Service error.,,
10,14,1,RIT,2014,RIT_WV~1,[Laiz Novaes] Attack error by Meritt Rogers.,,
10,15,1,RIT,2014,SLU,[Katarina Marczeski] Service error.,,
11,15,1,RIT,2014,RIT_WV~1,[Sarah  Szybist] Service error.,,
12,15,1,RIT,2014,SLU,[Katie Rowell] Kill by Masha Kolesnikova (from Katarina Marczeski).,,
12,16,1,RIT,2014,SLU,[Katie Rowell] Kill by Kayla Wheeler (from Laiz Novaes).,,
13,16,1,RIT,2014,RIT_WV~1,[Bethany Davis] Kill by Becky Briggs (from Katarina Marczeski).,,
13,17,1,RIT,2014,SLU,[Mariah Dignan] Kill by Abby Higgins (from Laiz Novaes).,,
14,17,1,RIT,2014,RIT_WV~1,[Rebecca Bennett] Kill by Cristina Deschaine (from Katarina Marczeski).,,
